candidat	value	words
1	2	0
1	14	1
1	7	2
1	12	3
1	4	4
1	1	5
1	0	6
1	8	7
1	0	8
1	0	9
1	0	10
1	0	11
1	2	12
1	1	13
2	30	0
2	17	1
2	36	2
2	35	3
2	2	4
2	1	5
2	0	6
2	26	7
2	1	8
2	1	9
2	1	10
2	0	11
2	3	12
2	10	13
3	17	0
3	2	1
3	7	2
3	20	3
3	4	4
3	2	5
3	0	6
3	16	7
3	0	8
3	1	9
3	2	10
3	0	11
3	0	12
3	0	13
4	9	0
4	6	1
4	6	2
4	16	3
4	2	4
4	16	5
4	0	6
4	8	7
4	0	8
4	1	9
4	0	10
4	0	11
4	4	12
4	0	13
5	40	0
5	1	1
5	17	2
5	21	3
5	1	4
5	0	5
5	0	6
5	10	7
5	0	8
5	1	9
5	0	10
5	2	11
5	4	12
5	1	13
6	46	0
6	4	1
6	2	2
6	12	3
6	0	4
6	0	5
6	0	6
6	17	7
6	0	8
6	3	9
6	0	10
6	0	11
6	0	12
6	0	13
7	31	0
7	8	1
7	8	2
7	13	3
7	2	4
7	0	5
7	0	6
7	14	7
7	1	8
7	0	9
7	0	10
7	1	11
7	1	12
7	0	13
8	13	0
8	0	1
8	3	2
8	6	3
8	2	4
8	0	5
8	0	6
8	4	7
8	0	8
8	0	9
8	0	10
8	0	11
8	1	12
8	0	13
9	19	0
9	5	1
9	10	2
9	9	3
9	3	4
9	1	5
9	0	6
9	7	7
9	0	8
9	1	9
9	0	10
9	1	11
9	0	12
9	0	13
10	11	0
10	0	1
10	9	2
10	14	3
10	4	4
10	0	5
10	0	6
10	4	7
10	0	8
10	1	9
10	0	10
10	2	11
10	0	12
10	1	13
