candidat	value	words
1	0.039215686	0
1	0.274509804	1
1	0.137254902	2
1	0.235294118	3
1	0.078431373	4
1	0.019607843	5
1	0	6
1	0.156862745	7
1	0	8
1	0	9
1	0	10
1	0	11
1	0.039215686	12
1	0.019607843	13
2	0.18404908	0
2	0.104294479	1
2	0.220858896	2
2	0.214723926	3
2	0.012269939	4
2	0.006134969	5
2	0	6
2	0.159509202	7
2	0.006134969	8
2	0.006134969	9
2	0.006134969	10
2	0	11
2	0.018404908	12
2	0.061349693	13
3	0.23943662	0
3	0.028169014	1
3	0.098591549	2
3	0.281690141	3
3	0.056338028	4
3	0.028169014	5
3	0	6
3	0.225352113	7
3	0	8
3	0.014084507	9
3	0.028169014	10
3	0	11
3	0	12
3	0	13
4	0.132352941	0
4	0.088235294	1
4	0.088235294	2
4	0.235294118	3
4	0.029411765	4
4	0.235294118	5
4	0	6
4	0.117647059	7
4	0	8
4	0.014705882	9
4	0	10
4	0	11
4	0.058823529	12
4	0	13
5	0.408163265	0
5	0.010204082	1
5	0.173469388	2
5	0.214285714	3
5	0.010204082	4
5	0	5
5	0	6
5	0.102040816	7
5	0	8
5	0.010204082	9
5	0	10
5	0.020408163	11
5	0.040816327	12
5	0.010204082	13
6	0.547619048	0
6	0.047619048	1
6	0.023809524	2
6	0.142857143	3
6	0	4
6	0	5
6	0	6
6	0.202380952	7
6	0	8
6	0.035714286	9
6	0	10
6	0	11
6	0	12
6	0	13
7	0.392405063	0
7	0.101265823	1
7	0.101265823	2
7	0.164556962	3
7	0.025316456	4
7	0	5
7	0	6
7	0.17721519	7
7	0.012658228	8
7	0	9
7	0	10
7	0.012658228	11
7	0.012658228	12
7	0	13
8	0.448275862	0
8	0	1
8	0.103448276	2
8	0.206896552	3
8	0.068965517	4
8	0	5
8	0	6
8	0.137931034	7
8	0	8
8	0	9
8	0	10
8	0	11
8	0.034482759	12
8	0	13
9	0.339285714	0
9	0.089285714	1
9	0.178571429	2
9	0.160714286	3
9	0.053571429	4
9	0.017857143	5
9	0	6
9	0.125	7
9	0	8
9	0.017857143	9
9	0	10
9	0.017857143	11
9	0	12
9	0	13
10	0.239130435	0
10	0	1
10	0.195652174	2
10	0.304347826	3
10	0.086956522	4
10	0	5
10	0	6
10	0.086956522	7
10	0	8
10	0.02173913	9
10	0	10
10	0.043478261	11
10	0	12
10	0.02173913	13
