date,key,value
09/01/16,Fillon,4
09/02/16,Fillon,1
09/03/16,Fillon,2
09/04/16,Fillon,0
09/05/16,Fillon,0
09/06/16,Fillon,1
09/07/16,Fillon,0
09/08/16,Fillon,0
09/09/16,Fillon,0
09/10/16,Fillon,0
09/11/16,Fillon,0
09/12/16,Fillon,2
09/13/16,Fillon,0
09/14/16,Fillon,1
09/15/16,Fillon,2
09/16/16,Fillon,0
09/17/16,Fillon,0
09/18/16,Fillon,0
09/19/16,Fillon,0
09/20/16,Fillon,0
09/21/16,Fillon,1
09/22/16,Fillon,0
09/23/16,Fillon,0
09/24/16,Fillon,0
09/25/16,Fillon,0
09/26/16,Fillon,0
09/27/16,Fillon,1
09/28/16,Fillon,1
09/29/16,Fillon,3
09/30/16,Fillon,2
10/01/16,Fillon,0
10/02/16,Fillon,1
10/03/16,Fillon,0
10/04/16,Fillon,2
10/05/16,Fillon,1
10/06/16,Fillon,0
10/07/16,Fillon,0
10/08/16,Fillon,1
10/09/16,Fillon,1
10/10/16,Fillon,3
10/11/16,Fillon,1
10/12/16,Fillon,1
10/13/16,Fillon,1
10/14/16,Fillon,0
10/15/16,Fillon,0
10/16/16,Fillon,0
10/17/16,Fillon,0
10/18/16,Fillon,2
10/19/16,Fillon,2
10/20/16,Fillon,2
10/21/16,Fillon,0
10/22/16,Fillon,0
10/23/16,Fillon,2
10/24/16,Fillon,0
10/25/16,Fillon,0
10/26/16,Fillon,0
10/27/16,Fillon,2
10/28/16,Fillon,3
10/29/16,Fillon,0
10/30/16,Fillon,0
10/31/16,Fillon,1
11/01/16,Fillon,0
11/02/16,Fillon,2
11/03/16,Fillon,0
11/04/16,Fillon,1
11/05/16,Fillon,0
11/06/16,Fillon,0
11/07/16,Fillon,0
11/08/16,Fillon,0
11/09/16,Fillon,2
11/10/16,Fillon,2
11/11/16,Fillon,2
11/12/16,Fillon,0
11/13/16,Fillon,2
11/14/16,Fillon,5
11/15/16,Fillon,5
11/16/16,Fillon,4
11/17/16,Fillon,5
11/18/16,Fillon,10
11/19/16,Fillon,1
11/20/16,Fillon,13
11/21/16,Fillon,51
11/22/16,Fillon,50
11/23/16,Fillon,43
11/24/16,Fillon,38
11/25/16,Fillon,45
11/26/16,Fillon,7
11/27/16,Fillon,30
11/28/16,Fillon,44
11/29/16,Fillon,28
11/30/16,Fillon,20
12/01/16,Fillon,11
12/02/16,Fillon,11
12/03/16,Fillon,0
12/04/16,Fillon,0
12/05/16,Fillon,1
12/06/16,Fillon,3
12/07/16,Fillon,13
12/08/16,Fillon,7
12/09/16,Fillon,4
12/10/16,Fillon,0
12/11/16,Fillon,1
12/12/16,Fillon,8
12/13/16,Fillon,11
12/14/16,Fillon,2
12/15/16,Fillon,9
12/16/16,Fillon,5
12/17/16,Fillon,4
12/18/16,Fillon,4
12/19/16,Fillon,6
12/20/16,Fillon,2
12/21/16,Fillon,4
12/22/16,Fillon,5
12/23/16,Fillon,3
12/24/16,Fillon,1
12/25/16,Fillon,0
12/26/16,Fillon,1
12/27/16,Fillon,3
12/28/16,Fillon,3
12/29/16,Fillon,0
12/30/16,Fillon,2
12/31/16,Fillon,1
01/01/17,Fillon,0
01/02/17,Fillon,10
01/03/17,Fillon,7
01/04/17,Fillon,10
01/05/17,Fillon,16
01/06/17,Fillon,11
01/07/17,Fillon,1
01/08/17,Fillon,3
01/09/17,Fillon,7
01/10/17,Fillon,18
01/11/17,Fillon,22
