date,key,value
09/01/16,Le Pen,1
09/01/16,Fillon,4
09/01/16,Sarkozy,3
09/01/16,Juppe,1
09/01/16,Macron,8
09/01/16,Hollande,2
09/01/16,Valls,1
09/01/16,Montebourg,0
09/01/16,Hamon,0
09/01/16,Melenchon,0
09/02/16,Le Pen,0
09/02/16,Fillon,1
09/02/16,Sarkozy,2
09/02/16,Juppe,0
09/02/16,Macron,1
09/02/16,Hollande,3
09/02/16,Valls,0
09/02/16,Montebourg,0
09/02/16,Hamon,0
09/02/16,Melenchon,0
09/03/16,Le Pen,4
09/03/16,Fillon,2
09/03/16,Sarkozy,1
09/03/16,Juppe,1
09/03/16,Macron,0
09/03/16,Hollande,0
09/03/16,Valls,0
09/03/16,Montebourg,0
09/03/16,Hamon,0
09/03/16,Melenchon,0
09/04/16,Le Pen,0
09/04/16,Fillon,0
09/04/16,Sarkozy,3
09/04/16,Juppe,0
09/04/16,Macron,4
09/04/16,Hollande,3
09/04/16,Valls,0
09/04/16,Montebourg,0
09/04/16,Hamon,0
09/04/16,Melenchon,0
09/05/16,Le Pen,0
09/05/16,Fillon,0
09/05/16,Sarkozy,2
09/05/16,Juppe,0
09/05/16,Macron,0
09/05/16,Hollande,1
09/05/16,Valls,0
09/05/16,Montebourg,0
09/05/16,Hamon,0
09/05/16,Melenchon,0
09/06/16,Le Pen,0
09/06/16,Fillon,1
09/06/16,Sarkozy,5
09/06/16,Juppe,1
09/06/16,Macron,1
09/06/16,Hollande,4
09/06/16,Valls,1
09/06/16,Montebourg,0
09/06/16,Hamon,0
09/06/16,Melenchon,0
09/07/16,Le Pen,1
09/07/16,Fillon,0
09/07/16,Sarkozy,4
09/07/16,Juppe,1
09/07/16,Macron,2
09/07/16,Hollande,9
09/07/16,Valls,0
09/07/16,Montebourg,2
09/07/16,Hamon,0
09/07/16,Melenchon,0
09/08/16,Le Pen,0
09/08/16,Fillon,0
09/08/16,Sarkozy,3
09/08/16,Juppe,2
09/08/16,Macron,0
09/08/16,Hollande,14
09/08/16,Valls,1
09/08/16,Montebourg,0
09/08/16,Hamon,0
09/08/16,Melenchon,1
09/09/16,Le Pen,0
09/09/16,Fillon,0
09/09/16,Sarkozy,1
09/09/16,Juppe,1
09/09/16,Macron,1
09/09/16,Hollande,3
09/09/16,Valls,0
09/09/16,Montebourg,0
09/09/16,Hamon,0
09/09/16,Melenchon,0
09/10/16,Le Pen,0
09/10/16,Fillon,0
09/10/16,Sarkozy,0
09/10/16,Juppe,0
09/10/16,Macron,1
09/10/16,Hollande,0
09/10/16,Valls,0
09/10/16,Montebourg,1
09/10/16,Hamon,1
09/10/16,Melenchon,1
09/11/16,Le Pen,1
09/11/16,Fillon,0
09/11/16,Sarkozy,4
09/11/16,Juppe,1
09/11/16,Macron,1
09/11/16,Hollande,1
09/11/16,Valls,0
09/11/16,Montebourg,1
09/11/16,Hamon,1
09/11/16,Melenchon,1
09/12/16,Le Pen,4
09/12/16,Fillon,2
09/12/16,Sarkozy,5
09/12/16,Juppe,0
09/12/16,Macron,2
09/12/16,Hollande,2
09/12/16,Valls,0
09/12/16,Montebourg,1
09/12/16,Hamon,0
09/12/16,Melenchon,0
09/13/16,Le Pen,1
09/13/16,Fillon,0
09/13/16,Sarkozy,1
09/13/16,Juppe,4
09/13/16,Macron,1
09/13/16,Hollande,1
09/13/16,Valls,3
09/13/16,Montebourg,0
09/13/16,Hamon,0
09/13/16,Melenchon,0
09/14/16,Le Pen,0
09/14/16,Fillon,1
09/14/16,Sarkozy,0
09/14/16,Juppe,6
09/14/16,Macron,1
09/14/16,Hollande,2
09/14/16,Valls,1
09/14/16,Montebourg,2
09/14/16,Hamon,0
09/14/16,Melenchon,0
09/15/16,Le Pen,0
09/15/16,Fillon,2
09/15/16,Sarkozy,8
09/15/16,Juppe,1
09/15/16,Macron,1
09/15/16,Hollande,3
09/15/16,Valls,1
09/15/16,Montebourg,2
09/15/16,Hamon,1
09/15/16,Melenchon,3
09/16/16,Le Pen,2
09/16/16,Fillon,0
09/16/16,Sarkozy,10
09/16/16,Juppe,0
09/16/16,Macron,0
09/16/16,Hollande,2
09/16/16,Valls,1
09/16/16,Montebourg,0
09/16/16,Hamon,0
09/16/16,Melenchon,1
09/17/16,Le Pen,1
09/17/16,Fillon,0
09/17/16,Sarkozy,0
09/17/16,Juppe,0
09/17/16,Macron,1
09/17/16,Hollande,1
09/17/16,Valls,0
09/17/16,Montebourg,1
09/17/16,Hamon,0
09/17/16,Melenchon,1
09/18/16,Le Pen,3
09/18/16,Fillon,0
09/18/16,Sarkozy,2
09/18/16,Juppe,2
09/18/16,Macron,0
09/18/16,Hollande,3
09/18/16,Valls,1
09/18/16,Montebourg,0
09/18/16,Hamon,0
09/18/16,Melenchon,0
09/19/16,Le Pen,1
09/19/16,Fillon,0
09/19/16,Sarkozy,3
09/19/16,Juppe,0
09/19/16,Macron,1
09/19/16,Hollande,1
09/19/16,Valls,0
09/19/16,Montebourg,0
09/19/16,Hamon,0
09/19/16,Melenchon,1
09/20/16,Le Pen,2
09/20/16,Fillon,0
09/20/16,Sarkozy,3
09/20/16,Juppe,2
09/20/16,Macron,2
09/20/16,Hollande,0
09/20/16,Valls,0
09/20/16,Montebourg,0
09/20/16,Hamon,0
09/20/16,Melenchon,1
09/21/16,Le Pen,1
09/21/16,Fillon,1
09/21/16,Sarkozy,6
09/21/16,Juppe,1
09/21/16,Macron,1
09/21/16,Hollande,0
09/21/16,Valls,1
09/21/16,Montebourg,0
09/21/16,Hamon,1
09/21/16,Melenchon,0
09/22/16,Le Pen,3
09/22/16,Fillon,0
09/22/16,Sarkozy,4
09/22/16,Juppe,3
09/22/16,Macron,4
09/22/16,Hollande,4
09/22/16,Valls,0
09/22/16,Montebourg,8
09/22/16,Hamon,0
09/22/16,Melenchon,1
09/23/16,Le Pen,4
09/23/16,Fillon,0
09/23/16,Sarkozy,1
09/23/16,Juppe,5
09/23/16,Macron,0
09/23/16,Hollande,3
09/23/16,Valls,0
09/23/16,Montebourg,3
09/23/16,Hamon,0
09/23/16,Melenchon,0
09/24/16,Le Pen,0
09/24/16,Fillon,0
09/24/16,Sarkozy,2
09/24/16,Juppe,2
09/24/16,Macron,1
09/24/16,Hollande,0
09/24/16,Valls,0
09/24/16,Montebourg,0
09/24/16,Hamon,0
09/24/16,Melenchon,0
09/25/16,Le Pen,0
09/25/16,Fillon,0
09/25/16,Sarkozy,1
09/25/16,Juppe,0
09/25/16,Macron,2
09/25/16,Hollande,0
09/25/16,Valls,0
09/25/16,Montebourg,0
09/25/16,Hamon,0
09/25/16,Melenchon,0
09/26/16,Le Pen,0
09/26/16,Fillon,0
09/26/16,Sarkozy,4
09/26/16,Juppe,3
09/26/16,Macron,3
09/26/16,Hollande,5
09/26/16,Valls,0
09/26/16,Montebourg,0
09/26/16,Hamon,0
09/26/16,Melenchon,0
09/27/16,Le Pen,0
09/27/16,Fillon,1
09/27/16,Sarkozy,5
09/27/16,Juppe,2
09/27/16,Macron,0
09/27/16,Hollande,3
09/27/16,Valls,0
09/27/16,Montebourg,1
09/27/16,Hamon,0
09/27/16,Melenchon,0
09/28/16,Le Pen,0
09/28/16,Fillon,1
09/28/16,Sarkozy,2
09/28/16,Juppe,4
09/28/16,Macron,0
09/28/16,Hollande,3
09/28/16,Valls,0
09/28/16,Montebourg,0
09/28/16,Hamon,0
09/28/16,Melenchon,0
09/29/16,Le Pen,0
09/29/16,Fillon,3
09/29/16,Sarkozy,9
09/29/16,Juppe,3
09/29/16,Macron,0
09/29/16,Hollande,0
09/29/16,Valls,0
09/29/16,Montebourg,0
09/29/16,Hamon,0
09/29/16,Melenchon,0
09/30/16,Le Pen,0
09/30/16,Fillon,2
09/30/16,Sarkozy,4
09/30/16,Juppe,2
09/30/16,Macron,0
09/30/16,Hollande,2
09/30/16,Valls,0
09/30/16,Montebourg,0
09/30/16,Hamon,0
09/30/16,Melenchon,0
10/01/16,Le Pen,0
10/01/16,Fillon,0
10/01/16,Sarkozy,1
10/01/16,Juppe,1
10/01/16,Macron,1
10/01/16,Hollande,0
10/01/16,Valls,0
10/01/16,Montebourg,0
10/01/16,Hamon,0
10/01/16,Melenchon,0
10/02/16,Le Pen,0
10/02/16,Fillon,1
10/02/16,Sarkozy,3
10/02/16,Juppe,4
10/02/16,Macron,3
10/02/16,Hollande,5
10/02/16,Valls,1
10/02/16,Montebourg,2
10/02/16,Hamon,0
10/02/16,Melenchon,0
10/03/16,Le Pen,2
10/03/16,Fillon,0
10/03/16,Sarkozy,2
10/03/16,Juppe,1
10/03/16,Macron,2
10/03/16,Hollande,3
10/03/16,Valls,1
10/03/16,Montebourg,2
10/03/16,Hamon,0
10/03/16,Melenchon,0
10/04/16,Le Pen,0
10/04/16,Fillon,2
10/04/16,Sarkozy,1
10/04/16,Juppe,4
10/04/16,Macron,6
10/04/16,Hollande,1
10/04/16,Valls,0
10/04/16,Montebourg,0
10/04/16,Hamon,0
10/04/16,Melenchon,0
10/05/16,Le Pen,2
10/05/16,Fillon,1
10/05/16,Sarkozy,7
10/05/16,Juppe,2
10/05/16,Macron,5
10/05/16,Hollande,2
10/05/16,Valls,0
10/05/16,Montebourg,0
10/05/16,Hamon,0
10/05/16,Melenchon,0
10/06/16,Le Pen,0
10/06/16,Fillon,0
10/06/16,Sarkozy,2
10/06/16,Juppe,6
10/06/16,Macron,0
10/06/16,Hollande,1
10/06/16,Valls,1
10/06/16,Montebourg,0
10/06/16,Hamon,0
10/06/16,Melenchon,1
10/07/16,Le Pen,1
10/07/16,Fillon,0
10/07/16,Sarkozy,3
10/07/16,Juppe,2
10/07/16,Macron,1
10/07/16,Hollande,4
10/07/16,Valls,0
10/07/16,Montebourg,0
10/07/16,Hamon,0
10/07/16,Melenchon,1
10/08/16,Le Pen,1
10/08/16,Fillon,1
10/08/16,Sarkozy,3
10/08/16,Juppe,4
10/08/16,Macron,0
10/08/16,Hollande,0
10/08/16,Valls,0
10/08/16,Montebourg,1
10/08/16,Hamon,0
10/08/16,Melenchon,0
10/09/16,Le Pen,0
10/09/16,Fillon,1
10/09/16,Sarkozy,2
10/09/16,Juppe,1
10/09/16,Macron,0
10/09/16,Hollande,0
10/09/16,Valls,0
10/09/16,Montebourg,0
10/09/16,Hamon,0
10/09/16,Melenchon,1
10/10/16,Le Pen,1
10/10/16,Fillon,3
10/10/16,Sarkozy,12
10/10/16,Juppe,7
10/10/16,Macron,1
10/10/16,Hollande,0
10/10/16,Valls,0
10/10/16,Montebourg,0
10/10/16,Hamon,0
10/10/16,Melenchon,1
10/11/16,Le Pen,2
10/11/16,Fillon,1
10/11/16,Sarkozy,4
10/11/16,Juppe,4
10/11/16,Macron,2
10/11/16,Hollande,2
10/11/16,Valls,0
10/11/16,Montebourg,1
10/11/16,Hamon,0
10/11/16,Melenchon,0
10/12/16,Le Pen,0
10/12/16,Fillon,1
10/12/16,Sarkozy,1
10/12/16,Juppe,7
10/12/16,Macron,1
10/12/16,Hollande,4
10/12/16,Valls,0
10/12/16,Montebourg,1
10/12/16,Hamon,0
10/12/16,Melenchon,0
10/13/16,Le Pen,0
10/13/16,Fillon,1
10/13/16,Sarkozy,4
10/13/16,Juppe,3
10/13/16,Macron,0
10/13/16,Hollande,4
10/13/16,Valls,0
10/13/16,Montebourg,1
10/13/16,Hamon,0
10/13/16,Melenchon,1
10/14/16,Le Pen,0
10/14/16,Fillon,0
10/14/16,Sarkozy,4
10/14/16,Juppe,3
10/14/16,Macron,1
10/14/16,Hollande,3
10/14/16,Valls,0
10/14/16,Montebourg,1
10/14/16,Hamon,0
10/14/16,Melenchon,0
10/15/16,Le Pen,0
10/15/16,Fillon,0
10/15/16,Sarkozy,0
10/15/16,Juppe,0
10/15/16,Macron,0
10/15/16,Hollande,1
10/15/16,Valls,0
10/15/16,Montebourg,0
10/15/16,Hamon,0
10/15/16,Melenchon,3
10/16/16,Le Pen,1
10/16/16,Fillon,0
10/16/16,Sarkozy,0
10/16/16,Juppe,2
10/16/16,Macron,1
10/16/16,Hollande,5
10/16/16,Valls,0
10/16/16,Montebourg,0
