candidat	value	words
1	2.52	0
2	0.51	0
3	8.70	0
4	0.00	0
5	3.90	0
6	0.00	0
7	0.34	0
8	1.11	0
9	1.67	0
10	0.00	0
11	0.00	0
1	0.54	1
2	0.36	1
3	0.00	1
4	0.00	1
5	0.00	1
6	0.00	1
7	0.59	1
8	1.11	1
9	0.71	1
10	0.00	1
11	0.00	1
1	1.08	2
2	0.61	2
3	0.00	2
4	0.00	2
5	3.90	2
6	0.00	2
7	0.08	2
8	0.32	2
9	0.48	2
10	0.00	2
11	0.00	2
1	0.54	3
2	2.50	3
3	0.00	3
4	0.00	3
5	0.00	3
6	0.00	3
7	0.34	3
8	0.47	3
9	0.95	3
10	0.00	3
11	0.00	3
1	1.98	4
2	2.60	4
3	0.00	4
4	0.00	4
5	1.30	4
6	0.00	4
7	1.44	4
8	1.58	4
9	1.90	4
10	0.00	4
11	0.00	4
1	1.80	5
2	1.74	5
3	0.00	5
4	0.00	5
5	2.60	5
6	0.00	5
7	2.62	5
8	6.48	5
9	1.43	5
10	0.00	5
11	0.00	5
1	7.37	6
2	7.41	6
3	4.35	6
4	7.69	6
5	0.00	6
6	0.00	6
7	4.73	6
8	9.00	6
9	6.19	6
10	5.56	6
11	23.53	6
1	0.90	7
2	0.82	7
3	0.00	7
4	0.00	7
5	0.00	7
6	0.00	7
7	0.76	7
8	0.32	7
9	0.24	7
10	2.78	7
11	0.00	7
1	1.08	8
2	1.02	8
3	0.00	8
4	0.00	8
5	1.30	8
6	0.00	8
7	0.59	8
8	0.47	8
9	1.67	8
10	5.56	8
11	0.00	8
1	4.68	9
2	2.81	9
3	0.00	9
4	0.00	9
5	3.90	9
6	0.00	9
7	3.38	9
8	1.26	9
9	2.14	9
10	0.00	9
11	0.00	9
1	5.04	10
2	3.47	10
3	0.00	10
4	0.00	10
5	1.30	10
6	0.00	10
7	3.38	10
8	8.21	10
9	3.81	10
10	0.00	10
11	0.00	10
1	0.72	11
2	0.10	11
3	0.00	11
4	0.00	11
5	1.30	11
6	0.00	11
7	0.42	11
8	0.00	11
9	0.00	11
10	0.00	11
11	0.00	11
1	3.78	12
2	21.55	12
3	0.00	12
4	0.00	12
5	2.60	12
6	0.00	12
7	0.42	12
8	0.63	12
9	0.24	12
10	0.00	12
11	0.00	12
1	7.55	13
2	3.06	13
3	0.00	13
4	0.00	13
5	0.00	13
6	0.00	13
7	3.38	13
8	1.74	13
9	3.33	13
10	0.00	13
11	0.00	13
